movie_id,movie_embedding
1,"0.0,0.03781376,0.0,0.03427522,0.0,0.0,0.0,1.3466763"
2,"0.0,0.03322068,0.0,0.036460914,0.0,0.0,0.0,0.7313341"
3,"0.0,0.033416755,0.0,0.036151595,0.0,0.0,0.0,0.7420982"
4,"0.0,0.032060612,0.0,0.03767868,0.0,0.0,0.0,0.60731894"
5,"0.0,0.032534454,0.0,0.036796816,0.0,0.0,0.0,0.63174385"
6,"0.0,0.03655076,0.0,0.034614135,0.0,0.0,0.0,1.1695625"
7,"0.0,0.034801036,0.0,0.035359625,0.0,0.0,0.0,0.9261347"
8,"0.0,0.034192886,0.0,0.035467923,0.0,0.0,0.0,0.8352673"
9,"0.0,0.031071773,0.0,0.03820727,0.0,0.0,0.0,0.44105858"
10,"0.0,0.034878295,0.0,0.03526936,0.0,0.0,0.0,0.93587625"
11,"0.0,0.036132146,0.0,0.034655683,0.0,0.0,0.0,1.116028"
12,"0.0,0.0322816,0.0,0.03729855,0.0,0.0,0.0,0.58109397"
13,"0.0,0.034117203,0.0,0.035960868,0.0,0.0,0.0,0.8024668"
14,"0.0,0.03411693,0.0,0.03585814,0.0,0.0,0.0,0.85798764"
15,"0.0,0.031427816,0.0,0.037916083,0.0,0.0,0.0,0.46243483"
16,"0.0,0.035767645,0.0,0.034737132,0.0,0.0,0.0,1.0818248"
17,"0.0,0.037608813,0.0,0.034161188,0.0,0.0,0.0,1.3276527"
18,"0.0,0.035095304,0.0,0.03503575,0.0,0.0,0.0,0.97626513"
19,"0.0,0.029780231,0.0,0.03939549,0.0,0.0,0.0,0.29806587"
20,"0.0,0.029353049,0.0,0.039662648,0.0,0.0,0.0,0.25179285"
21,"0.0,0.035276443,0.0,0.034922022,0.0,0.0,0.0,1.0160265"
22,"0.0,0.035398684,0.0,0.03497641,0.0,0.0,0.0,1.0332842"
23,"0.0,0.032172162,0.0,0.03755257,0.0,0.0,0.0,0.5935895"
24,"0.0,0.03487163,0.0,0.035094686,0.0,0.0,0.0,0.9597296"
25,"0.0,0.036595114,0.0,0.034417253,0.0,0.0,0.0,1.2041264"
26,"0.0,0.03559425,0.0,0.034818098,0.0,0.0,0.0,1.0578394"
27,"0.0,0.03396538,0.0,0.036061984,0.0,0.0,0.0,0.8252945"
28,"0.0,0.036467843,0.0,0.0346287,0.0,0.0,0.0,1.1556978"
29,"0.0,0.036864925,0.0,0.03433615,0.0,0.0,0.0,1.2122011"
30,"0.0,0.035145085,0.0,0.035190023,0.0,0.0,0.0,0.9924176"
31,"0.0,0.0340342,0.0,0.035732925,0.0,0.0,0.0,0.8552108"
32,"0.0,0.03738769,0.0,0.034356765,0.0,0.0,0.0,1.2948859"
33,"0.0,0.03393346,0.0,0.03593085,0.0,0.0,0.0,0.81022406"
34,"0.0,0.03818702,0.0,0.03382454,0.0,0.0,0.0,1.4058291"
35,"0.0,0.034399472,0.0,0.03571982,0.0,0.0,0.0,0.86710095"
36,"0.0,0.03639539,0.0,0.034638207,0.0,0.0,0.0,1.1502116"
37,"0.0,0.035293188,0.0,0.03531385,0.0,0.0,0.0,1.0369053"
38,"0.0,0.03222774,0.0,0.037209187,0.0,0.0,0.0,0.6034765"
39,"0.0,0.035582922,0.0,0.034873284,0.0,0.0,0.0,1.024868"
40,"0.0,0.035429757,0.0,0.03500889,0.0,0.0,0.0,1.0108852"
41,"0.0,0.03628601,0.0,0.034552366,0.0,0.0,0.0,1.1567647"
42,"0.0,0.035202697,0.0,0.03500791,0.0,0.0,0.0,0.99765897"
43,"0.0,0.034564305,0.0,0.035484266,0.0,0.0,0.0,0.9039985"
44,"0.0,0.032815933,0.0,0.036452055,0.0,0.0,0.0,0.6549399"
45,"0.0,0.035260234,0.0,0.035118826,0.0,0.0,0.0,1.0101862"
46,"0.0,0.03467668,0.0,0.035239026,0.0,0.0,0.0,0.94891965"
47,"0.0,0.038131315,0.0,0.034152295,0.0,0.0,0.0,1.379508"
48,"0.0,0.0317996,0.0,0.03792398,0.0,0.0,0.0,0.5653561"
49,"0.0,0.034622256,0.0,0.035445876,0.0,0.0,0.0,0.900161"
50,"0.0,0.043919362,0.0,0.032262918,0.0,0.0,0.0,2.171591"
51,"0.0,0.033940107,0.0,0.036042497,0.0,0.0,0.0,0.8424481"
52,"0.0,0.03499167,0.0,0.035256416,0.0,0.0,0.0,0.9464573"
53,"0.0,0.035112564,0.0,0.035065487,0.0,0.0,0.0,0.98994017"
54,"0.0,0.033837594,0.0,0.035493217,0.0,0.0,0.0,0.8000349"
55,"0.0,0.03493142,0.0,0.03506708,0.0,0.0,0.0,0.9641717"
56,"0.0,0.03364878,0.0,0.036186907,0.0,0.0,0.0,0.7743732"
57,"0.0,0.035163123,0.0,0.034921102,0.0,0.0,0.0,1.0043697"
58,"0.0,0.039086744,0.0,0.033760253,0.0,0.0,0.0,1.5447837"
59,"0.0,0.033313967,0.0,0.036563743,0.0,0.0,0.0,0.7526573"
60,"0.0,0.034387965,0.0,0.03548898,0.0,0.0,0.0,0.8776347"
61,"0.0,0.03217173,0.0,0.03788948,0.0,0.0,0.0,0.6102836"
62,"0.0,0.035449106,0.0,0.035033807,0.0,0.0,0.0,1.0214615"
63,"0.0,0.03177746,0.0,0.037615087,0.0,0.0,0.0,0.5392411"
64,"0.0,0.03111172,0.0,0.038408935,0.0,0.0,0.0,0.45810544"
65,"0.0,0.027834525,0.0,0.041492738,0.0,0.0,0.0,0.07022542"
66,"0.0,0.027970884,0.0,0.04133237,0.0,0.0,0.0,0.107090235"
67,"0.0,0.034134924,0.0,0.035999414,0.0,0.0,0.0,0.8678112"
68,"0.0,0.033690426,0.0,0.035853293,0.0,0.0,0.0,0.77781236"
69,"0.0,0.03606357,0.0,0.034730785,0.0,0.0,0.0,1.1132138"
70,"0.0,0.03236021,0.0,0.037106052,0.0,0.0,0.0,0.5944217"
71,"0.0,0.028510902,0.0,0.040660992,0.0,0.0,0.0,0.124150544"
72,"0.0,0.035922423,0.0,0.03470798,0.0,0.0,0.0,1.1081202"
73,"0.0,0.036499552,0.0,0.034596417,0.0,0.0,0.0,1.1844517"
74,"0.0,0.034889087,0.0,0.035183195,0.0,0.0,0.0,0.98127145"
75,"0.0,0.03390524,0.0,0.036109246,0.0,0.0,0.0,0.8225116"
76,"0.0,0.032237217,0.0,0.037501406,0.0,0.0,0.0,0.5856096"
77,"0.0,0.03367466,0.0,0.03692441,0.0,0.0,0.0,0.84743404"
78,"0.0,0.033097245,0.0,0.03687728,0.0,0.0,0.0,0.7288341"
79,"0.0,0.032739744,0.0,0.03715984,0.0,0.0,0.0,0.6817658"
80,"0.0,0.035592467,0.0,0.034802362,0.0,0.0,0.0,1.0283556"
81,"0.0,0.03512737,0.0,0.035161868,0.0,0.0,0.0,0.98934174"
