user_id,user_embedding
1,"0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644638"
2,"0.0,0.0,0.0,0.0,0.0019401684,0.18516164,0.0,1.0896776"
3,"0.0,0.0,0.0,0.0,0.00095416186,0.18586071,0.0,1.1265509"
4,"0.0,0.0,0.0,0.0,0.001417479,0.18553804,0.0,1.0721575"
5,"0.0,0.0,0.0,0.0,0.0,0.18511395,0.0,0.87957215"
6,"0.0,0.0,0.0,0.0,0.0035718167,0.18734308,0.0,1.838272"
7,"0.0,0.0,0.0,0.0,0.0014611278,0.18669184,0.0,1.4074206"
8,"0.0,0.0,0.0,0.0,0.0028959531,0.18743072,0.0,1.7730522"
9,"0.0,0.0,0.0,0.0,0.002089627,0.18653925,0.0,1.3446639"
10,"0.0,0.0,0.0,0.0,0.0017514965,0.18698679,0.0,1.5807776"
11,"0.0,0.0,0.0,0.0,0.0008670171,0.18649775,0.0,1.3012182"
12,"0.0,0.0,0.0,0.0,0.0012641861,0.18542717,0.0,1.0482626"
13,"0.0,0.0,0.0,0.0,0.001246172,0.18639243,0.0,1.3240548"
14,"0.0,0.0,0.0,0.0,0.0013938555,0.1853132,0.0,1.0669278"
15,"0.0,0.0,0.0,0.0,0.0009025242,0.18575215,0.0,1.0830436"
16,"0.0,0.0,0.0,0.0,0.00064352294,0.18552472,0.0,1.0313207"
17,"0.0,0.0,0.0,0.0,0.0033868821,0.18748938,0.0,1.8723172"
18,"0.0,0.0,0.0,0.0,0.0023059482,0.1871394,0.0,1.6077837"
19,"0.0,0.0,0.0,0.0,0.0021242052,0.18654904,0.0,1.4542127"
20,"0.0,0.0,0.0,0.0,0.00206134,0.1867273,0.0,1.4474171"
21,"0.0,0.0,0.0,0.0,0.0006963988,0.18514384,0.0,0.9982274"
22,"0.0,0.0,0.0,0.0,0.00040221307,0.18542275,0.0,0.9974059"
23,"0.0,0.0,0.0,0.0,0.001580793,0.18630709,0.0,1.2757499"
24,"0.0,0.0,0.0,0.0,0.0018111942,0.18696673,0.0,1.5557706"
25,"0.0,0.0,0.0,0.0,0.0015309695,0.18642364,0.0,1.3426766"
26,"0.0,0.0,0.0,0.0,0.0,0.18491149,0.0,0.7686523"
27,"0.0,0.0,0.0,0.0,0.0016944716,0.1866509,0.0,1.4506547"
28,"0.0,0.0,0.0,0.0,0.0013063881,0.18666914,0.0,1.4376826"
29,"0.0,0.0,0.0,0.0,0.00030537648,0.1852441,0.0,0.9897479"
30,"0.0,0.0,0.0,0.0,0.0,0.18523632,0.0,0.9349066"
31,"0.0,0.0,0.0,0.0,0.0012236224,0.18518198,0.0,1.0414147"
32,"0.0,0.0,0.0,0.0,0.0010963548,0.18574625,0.0,1.0872922"
33,"0.0,0.0,0.0,0.0,0.0007556365,0.1853859,0.0,1.0237145"
34,"0.0,0.0,0.0,0.0,0.0030592168,0.18755433,0.0,1.868979"
35,"0.0,0.0,0.0,0.0,0.0017282739,0.18650791,0.0,1.4124739"
36,"0.0,0.0,0.0,0.0,0.0030747345,0.18769003,0.0,1.8536029"
37,"0.0,0.0,0.0,0.0,0.0014374312,0.18640986,0.0,1.3148766"
