user_id,user_embedding
1,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644638]"
2,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644639]"
3,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644640]"
4,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644641]"
5,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644642]"
6,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644643]"
7,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644644]"
8,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644645]"
9,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644646]"
10,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644647]"
11,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644648]"
12,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644649]"
13,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644650]"
14,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644651]"
15,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644652]"
16,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644653]"
17,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644654]"
18,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644655]"
19,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644656]"
20,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644657]"
21,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644658]"
22,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644659]"
23,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644660]"
24,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644661]"
25,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644662]"
26,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644663]"
27,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644664]"
28,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644665]"
29,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644666]"
30,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644667]"
31,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644668]"
32,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644669]"
33,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644670]"
34,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644671]"
35,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644672]"
36,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644673]"
37,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644674]"
38,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644675]"
39,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644676]"
40,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644677]"
41,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644678]"
42,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644679]"
43,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644680]"
44,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644681]"
45,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644682]"
46,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644683]"
47,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644684]"
48,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644685]"
49,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644686]"
50,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644687]"
51,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644688]"
52,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644689]"
53,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644690]"
54,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644691]"
55,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644692]"
56,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644693]"
57,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644694]"
58,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644695]"
59,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644696]"
60,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644697]"
61,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644698]"
62,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644699]"
63,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644700]"
64,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644701]"
65,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644702]"
66,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644703]"
67,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644704]"
68,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644705]"
69,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644706]"
70,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644707]"
71,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644708]"
72,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644709]"
73,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644710]"
74,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644711]"
